CtryNm,CcyNm,Ccy,CcyNbr,WthdrwlDt,CcyNm/_IsFund,CcyNm/__text
"YEMEN, DEMOCRATIC",Yemeni Dinar,YDD,720,1991-09,,
YUGOSLAVIA,New Yugoslavian Dinar,YUD,890,1990-01,,
YUGOSLAVIA,New Dinar,YUM,891,2003-07,,
YUGOSLAVIA,Yugoslavian Dinar,YUN,890,1995-11,,
ZAIRE,New Zaire,ZRN,180,1999-06,,
ZAIRE,Zaire,ZRZ,180,1994-02,,
ZAMBIA,Zambian Kwacha,ZMK,894,2012-12,,
ZIMBABWE,Rhodesian Dollar,ZWC,716,1989-12,,
ZIMBABWE,Zimbabwe Dollar (old),ZWD,716,2006-08,,
ZIMBABWE,Zimbabwe Dollar,ZWD,716,2008-08,,
ZIMBABWE,Zimbabwe Dollar (new),ZWN,942,2006-09,,
ZIMBABWE,Zimbabwe Dollar,ZWR,935,2009-06,,
ZIMBABWE,Zimbabwe Dollar,ZWL,932,2024-09,,
ZZ01_Gold-Franc,Gold-Franc,XFO,,2006-10,,
ZZ02_RINET Funds Code,,XRE,,1999-11,WAHR,RINET Funds Code
ZZ05_UIC-Franc,,XFU,,2013-11,WAHR,UIC-Franc
