country,year,event,event_notes,domestic_notes,external_notes
Angola,1994.0,Banking Crisis,Two state-owned commercial banks had insolvency problems.,"Hyperinflation. Credit to the public sector is eroded (and de jure in default) but we have no orders of magnitude. See also Standard and Poor's 1999, 2003, and 2006.",
Angola,1994.0,Currency Crisis,,"Hyperinflation. Credit to the public sector is eroded (and de jure in default) but we have no orders of magnitude. See also Standard and Poor's 1999, 2003, and 2006.",
Angola,1994.0,Inflation Crisis,Inflation level: 949.8,"Hyperinflation. Credit to the public sector is eroded (and de jure in default) but we have no orders of magnitude. See also Standard and Poor's 1999, 2003, and 2006.",
Angola,1995.0,Banking Crisis,Two state-owned commercial banks had insolvency problems.,"Hyperinflation. Credit to the public sector is eroded (and de jure in default) but we have no orders of magnitude. See also Standard and Poor's 1999, 2003, and 2006.",
Angola,1995.0,Inflation Crisis,Inflation level: 2672.2,"Hyperinflation. Credit to the public sector is eroded (and de jure in default) but we have no orders of magnitude. See also Standard and Poor's 1999, 2003, and 2006.",
Angola,1996.0,Banking Crisis,Two state-owned commercial banks had insolvency problems.,"Hyperinflation. Credit to the public sector is eroded (and de jure in default) but we have no orders of magnitude. See also Standard and Poor's 1999, 2003, and 2006.",
Angola,1996.0,Currency Crisis,,"Hyperinflation. Credit to the public sector is eroded (and de jure in default) but we have no orders of magnitude. See also Standard and Poor's 1999, 2003, and 2006.",
Angola,1996.0,Inflation Crisis,Inflation level: 4146.0,"Hyperinflation. Credit to the public sector is eroded (and de jure in default) but we have no orders of magnitude. See also Standard and Poor's 1999, 2003, and 2006.",
Angola,1997.0,Banking Crisis,Two state-owned commercial banks had insolvency problems.,,
Angola,1997.0,Currency Crisis,,,
Angola,1997.0,Inflation Crisis,Inflation level: 221.5,,
Angola,1998.0,Banking Crisis,Two state-owned commercial banks had insolvency problems.,,
Angola,1998.0,Currency Crisis,,,
Angola,1998.0,Inflation Crisis,Inflation level: 107.4,,
Angola,1999.0,Inflation Crisis,Inflation level: 248.2,,
Angola,2000.0,Currency Crisis,,,
Angola,2000.0,Inflation Crisis,Inflation level: 325.0,,
Angola,2001.0,Currency Crisis,,,
Angola,2001.0,Inflation Crisis,Inflation level: 152.6,,
Angola,2002.0,Currency Crisis,,,
Angola,2002.0,Inflation Crisis,Inflation level: 108.9,,
Angola,2003.0,Currency Crisis,,,
Angola,2003.0,Inflation Crisis,Inflation level: 98.3,,
Angola,2004.0,Currency Crisis,,,
Angola,2004.0,Inflation Crisis,Inflation level: 43.6,,
Angola,2005.0,Currency Crisis,,,
Angola,2005.0,Inflation Crisis,Inflation level: 23.0,,
Angola,2009.0,Currency Crisis,,,
Argentina,1803.0,Inflation Crisis,Inflation level: 22.6,,
Argentina,1815.0,Inflation Crisis,Inflation level: 50.0,,
Argentina,1816.0,Gain of Independence,,,
Argentina,1833.0,Inflation Crisis,Inflation level: 47.0,,
Argentina,1838.0,Inflation Crisis,Inflation level: 25.0,,
Argentina,1841.0,Inflation Crisis,Inflation level: 51.8,,
Argentina,1842.0,Inflation Crisis,Inflation level: 55.4,,
Argentina,1847.0,Inflation Crisis,Inflation level: 28.3,,
Argentina,1851.0,Inflation Crisis,Inflation level: 56.0,,
Argentina,1852.0,Inflation Crisis,Inflation level: 52.3,,
Argentina,1853.0,Inflation Crisis,Inflation level: 55.6,,
Argentina,1854.0,Inflation Crisis,Inflation level: 22.7,,
Argentina,1867.0,Gold Standard Adoption,,,
Argentina,1877.0,Gold Standard Suspension,,,
Argentina,1883.0,Gold Standard Adoption,,,
Argentina,1885.0,Inflation Crisis,Inflation level: 26.0,,
Argentina,1886.0,Gold Standard Suspension,,,
Argentina,1890.0,Banking Crisis,,"This external default also extended to several so-called “internal” bonds. These bonds although not issued in London,  were denominated in a foreign currency (£s) and marketed abroad—the forerunners of the Mexican Tesobonos of the 1990s. Lindert and Morton (1989) Table 2.8 and Bond database: amount of issue in 1888 is UK£3,933.",Refinancing problem (Baring crisis)
Argentina,1890.0,Systemic Crisis,,"This external default also extended to several so-called “internal” bonds. These bonds although not issued in London,  were denominated in a foreign currency (£s) and marketed abroad—the forerunners of the Mexican Tesobonos of the 1990s. Lindert and Morton (1989) Table 2.8 and Bond database: amount of issue in 1888 is UK£3,933.",Refinancing problem (Baring crisis)
Argentina,1890.0,Inflation Crisis,Inflation level: 40.9,"This external default also extended to several so-called “internal” bonds. These bonds although not issued in London,  were denominated in a foreign currency (£s) and marketed abroad—the forerunners of the Mexican Tesobonos of the 1990s. Lindert and Morton (1989) Table 2.8 and Bond database: amount of issue in 1888 is UK£3,933.",Refinancing problem (Baring crisis)
Argentina,1891.0,Banking Crisis,,"This external default also extended to several so-called “internal” bonds. These bonds although not issued in London,  were denominated in a foreign currency (£s) and marketed abroad—the forerunners of the Mexican Tesobonos of the 1990s. Lindert and Morton (1989) Table 2.8 and Bond database: amount of issue in 1888 is UK£3,933.",Refinancing problem (Baring crisis)
Argentina,1891.0,Systemic Crisis,,"This external default also extended to several so-called “internal” bonds. These bonds although not issued in London,  were denominated in a foreign currency (£s) and marketed abroad—the forerunners of the Mexican Tesobonos of the 1990s. Lindert and Morton (1989) Table 2.8 and Bond database: amount of issue in 1888 is UK£3,933.",Refinancing problem (Baring crisis)
Argentina,1900.0,Gold Standard Adoption,,,
Argentina,1914.0,Banking Crisis,,,
Argentina,1914.0,Systemic Crisis,,,
Argentina,1915.0,Gold Standard Suspension,,"Local governments only. There is a surge in provincial issues during 1900-1914. Lindert and Morton (1989) Table 2.8 and Bond database: amount of issue in 1888 is UK£3,933. Not counted as a sovereign default.",
Argentina,1918.0,Inflation Crisis,Inflation level: 25.7,,
Argentina,1927.0,Gold Standard Adoption,,,
Argentina,1930.0,Gold Standard Suspension,,"1930s: Local governments only. There is a surge in provincial issues during 1900-1914. Marichal (1989) (Lindert and Morton (1989) Table 2.8 and Bond database: amount of issue in 1888 is UK£3,933. Not counted as a sovereign default.",
Argentina,1931.0,Banking Crisis,,,
Argentina,1931.0,Systemic Crisis,,,
Argentina,1934.0,Banking Crisis,,,
Argentina,1934.0,Systemic Crisis,,,
Argentina,1949.0,Inflation Crisis,Inflation level: 31.0,,
Argentina,1950.0,Inflation Crisis,Inflation level: 39.5,,
Argentina,1951.0,Inflation Crisis,Inflation level: 55.7,,
Argentina,1957.0,Inflation Crisis,Inflation level: 21.7,,Post-Peron budget crisis. beet export drops
Argentina,1958.0,Inflation Crisis,Inflation level: 33.4,,Post-Peron budget crisis. beet export drops
Argentina,1959.0,Currency Crisis,,,Post-Peron budget crisis. beet export drops
Argentina,1959.0,Inflation Crisis,Inflation level: 123.6,,Post-Peron budget crisis. beet export drops
Argentina,1962.0,Inflation Crisis,Inflation level: 34.7,,Post-Peron budget crisis. beet export drops
Argentina,1963.0,Currency Crisis,,,Post-Peron budget crisis. beet export drops
Argentina,1964.0,Inflation Crisis,Inflation level: 21.1,,Post-Peron budget crisis. beet export drops
Argentina,1965.0,Inflation Crisis,Inflation level: 32.1,,Post-Peron budget crisis. beet export drops
Argentina,1966.0,Currency Crisis,,,
Argentina,1966.0,Inflation Crisis,Inflation level: 29.3,,
Argentina,1967.0,Inflation Crisis,Inflation level: 30.6,,
Argentina,1968.0,Currency Crisis,,,
Argentina,1970.0,Currency Crisis,,,
Argentina,1971.0,Inflation Crisis,Inflation level: 37.2,,
Argentina,1972.0,Currency Crisis,,,
Argentina,1972.0,Inflation Crisis,Inflation level: 58.8,,
Argentina,1973.0,Currency Crisis,,,
Argentina,1973.0,Inflation Crisis,Inflation level: 60.0,,
Argentina,1974.0,Inflation Crisis,Inflation level: 23.8,,
Argentina,1975.0,Inflation Crisis,Inflation level: 221.0,,
Argentina,1976.0,Inflation Crisis,Inflation level: 419.5,,
Argentina,1977.0,Inflation Crisis,Inflation level: 170.5,,
Argentina,1978.0,Inflation Crisis,Inflation level: 174.1,,
Argentina,1979.0,Inflation Crisis,Inflation level: 165.9,,
Argentina,1980.0,Banking Crisis,The failure of a large private bank (Banco de Intercambio Regional) led to runs on three other banks. Eventually more than 70 institutions—16% of commercial bank assets and 35% of finance company assets—were liquidated or subjected to central bank intervention.,,
Argentina,1980.0,Systemic Crisis,,,
Argentina,1980.0,Inflation Crisis,Inflation level: 100.8,,
Argentina,1981.0,Banking Crisis,The failure of a large private bank (Banco de Intercambio Regional) led to runs on three other banks. Eventually more than 70 institutions—16% of commercial bank assets and 35% of finance company assets—were liquidated or subjected to central bank intervention.,,
Argentina,1981.0,Systemic Crisis,,,
Argentina,1981.0,Inflation Crisis,Inflation level: 104.5,,
Argentina,1982.0,Banking Crisis,The failure of a large private bank (Banco de Intercambio Regional) led to runs on three other banks. Eventually more than 70 institutions—16% of commercial bank assets and 35% of finance company assets—were liquidated or subjected to central bank intervention.,External restructuring also extended to internal debt.,Oil and interest rate shocks. budget crisis
Argentina,1982.0,Systemic Crisis,,External restructuring also extended to internal debt.,Oil and interest rate shocks. budget crisis
Argentina,1982.0,Inflation Crisis,Inflation level: 164.8,External restructuring also extended to internal debt.,Oil and interest rate shocks. budget crisis
Argentina,1983.0,Inflation Crisis,Inflation level: 343.8,,Oil and interest rate shocks. budget crisis
Argentina,1984.0,Inflation Crisis,Inflation level: 626.7,,Oil and interest rate shocks. budget crisis
Argentina,1985.0,Inflation Crisis,Inflation level: 672.2,,Oil and interest rate shocks. budget crisis
Argentina,1986.0,Inflation Crisis,Inflation level: 90.1,,Oil and interest rate shocks. budget crisis
Argentina,1987.0,Systemic Crisis,,,Oil and interest rate shocks. budget crisis
Argentina,1987.0,Inflation Crisis,Inflation level: 131.3,,Oil and interest rate shocks. budget crisis
Argentina,1988.0,Systemic Crisis,,,Oil and interest rate shocks. budget crisis
Argentina,1988.0,Inflation Crisis,Inflation level: 343.0,,Oil and interest rate shocks. budget crisis
Argentina,1989.0,Banking Crisis,,"Plan BONEX: Forcible conversion of term bank deposits for 10-year government bonds of the Bonex 89 series (see Aisen, 2004). Hyperinflation.",Oil and interest rate shocks. budget crisis
Argentina,1989.0,Systemic Crisis,,"Plan BONEX: Forcible conversion of term bank deposits for 10-year government bonds of the Bonex 89 series (see Aisen, 2004). Hyperinflation.",Oil and interest rate shocks. budget crisis
Argentina,1989.0,Inflation Crisis,Inflation level: 3079.5,"Plan BONEX: Forcible conversion of term bank deposits for 10-year government bonds of the Bonex 89 series (see Aisen, 2004). Hyperinflation.",Oil and interest rate shocks. budget crisis
Argentina,1990.0,Banking Crisis,,"Plan BONEX: Forcible conversion of term bank deposits for 10-year government bonds of the Bonex 89 series (see Aisen, 2004). Hyperinflation.",Oil and interest rate shocks. budget crisis
Argentina,1990.0,Systemic Crisis,,"Plan BONEX: Forcible conversion of term bank deposits for 10-year government bonds of the Bonex 89 series (see Aisen, 2004). Hyperinflation.",Oil and interest rate shocks. budget crisis
Argentina,1990.0,Inflation Crisis,Inflation level: 2314.0,"Plan BONEX: Forcible conversion of term bank deposits for 10-year government bonds of the Bonex 89 series (see Aisen, 2004). Hyperinflation.",Oil and interest rate shocks. budget crisis
Argentina,1991.0,Currency Crisis,,,Oil and interest rate shocks. budget crisis
Argentina,1991.0,Inflation Crisis,Inflation level: 171.7,,Oil and interest rate shocks. budget crisis
Argentina,1992.0,Currency Crisis,,,Oil and interest rate shocks. budget crisis
Argentina,1992.0,Inflation Crisis,Inflation level: 24.9,,Oil and interest rate shocks. budget crisis
Argentina,1993.0,Currency Crisis,,,Oil and interest rate shocks. budget crisis
Argentina,1994.0,Currency Crisis,,,
Argentina,1995.0,Banking Crisis,"The Mexican devaluation led to a run on banks, which resulted in an 18% decline in deposits between December and March. Eight banks suspended and three banks collapsed.",,
Argentina,1995.0,Systemic Crisis,,,
Argentina,1996.0,Banking Crisis,"The Mexican devaluation led to a run on banks, which resulted in an 18% decline in deposits between December and March. Eight banks suspended and three banks collapsed.",,
Argentina,1996.0,Systemic Crisis,,,
Argentina,1996.0,Currency Crisis,,,
Argentina,1997.0,Currency Crisis,,,
Argentina,1998.0,Currency Crisis,,,
Argentina,2000.0,Currency Crisis,,,
Argentina,2001.0,Banking Crisis,,"Domestic bond exchange (Phase 1), not targeted to foreign investors (Sturzenegger and Zettelmeyer 2006 and Appendix B Cruces and Trebesch 2012)",
Argentina,2001.0,Systemic Crisis,,"Domestic bond exchange (Phase 1), not targeted to foreign investors (Sturzenegger and Zettelmeyer 2006 and Appendix B Cruces and Trebesch 2012)",
Argentina,2001.0,Currency Crisis,,"Domestic bond exchange (Phase 1), not targeted to foreign investors (Sturzenegger and Zettelmeyer 2006 and Appendix B Cruces and Trebesch 2012)",
Argentina,2002.0,Banking Crisis,,"Domestic bond exchange (Phase 1), not targeted to foreign investors (Sturzenegger and Zettelmeyer 2006 and Appendix B Cruces and Trebesch 2012)",
Argentina,2002.0,Systemic Crisis,,"Domestic bond exchange (Phase 1), not targeted to foreign investors (Sturzenegger and Zettelmeyer 2006 and Appendix B Cruces and Trebesch 2012)",
Argentina,2002.0,Currency Crisis,,"Domestic bond exchange (Phase 1), not targeted to foreign investors (Sturzenegger and Zettelmeyer 2006 and Appendix B Cruces and Trebesch 2012)",
Argentina,2002.0,Inflation Crisis,Inflation level: 25.9,"Domestic bond exchange (Phase 1), not targeted to foreign investors (Sturzenegger and Zettelmeyer 2006 and Appendix B Cruces and Trebesch 2012)",
Argentina,2003.0,Banking Crisis,,"Domestic bond exchange (Phase 1), not targeted to foreign investors (Sturzenegger and Zettelmeyer 2006 and Appendix B Cruces and Trebesch 2012)",
Argentina,2003.0,Systemic Crisis,,"Domestic bond exchange (Phase 1), not targeted to foreign investors (Sturzenegger and Zettelmeyer 2006 and Appendix B Cruces and Trebesch 2012)",
Argentina,2003.0,Currency Crisis,,"Domestic bond exchange (Phase 1), not targeted to foreign investors (Sturzenegger and Zettelmeyer 2006 and Appendix B Cruces and Trebesch 2012)",
Argentina,2004.0,Currency Crisis,,"Domestic bond exchange (Phase 1), not targeted to foreign investors (Sturzenegger and Zettelmeyer 2006 and Appendix B Cruces and Trebesch 2012)",
Argentina,2005.0,Currency Crisis,,"Domestic bond exchange (Phase 1), not targeted to foreign investors (Sturzenegger and Zettelmeyer 2006 and Appendix B Cruces and Trebesch 2012)",
Argentina,2009.0,Currency Crisis,,,
Argentina,2014.0,Currency Crisis,,,
Argentina,2016.0,Currency Crisis,,,
Australia,1826.0,Banking Crisis,,,
Australia,1826.0,Systemic Crisis,,,
Australia,1827.0,Banking Crisis,,,
Australia,1827.0,Systemic Crisis,,,
Australia,1828.0,Banking Crisis,,,
Australia,1828.0,Systemic Crisis,,,
Australia,1828.0,Inflation Crisis,Inflation level: 20.2,,
Australia,1834.0,Inflation Crisis,Inflation level: 27.1,,
Australia,1836.0,Inflation Crisis,Inflation level: 23.7,,
Australia,1839.0,Inflation Crisis,Inflation level: 36.5,,
Australia,1843.0,Banking Crisis,,,
Australia,1846.0,Inflation Crisis,Inflation level: 41.5,,
Australia,1852.0,Gold Standard Adoption,,,
Australia,1854.0,Inflation Crisis,Inflation level: 57.4,,
Australia,1885.0,Currency Crisis,,,
Australia,1889.0,Currency Crisis,,,
Australia,1890.0,Currency Crisis,,,
Australia,1891.0,Currency Crisis,,,
Australia,1893.0,Banking Crisis,"Domestic lending boom showed the deteriorated quality of bank assets; land boom and unregulated banking system led to speculation. Closure of Mercantile Bank in Australia and Federal Bank of Australia meant British deposits ran off. Bank share prices fell heavily, banks retrenched and stopped long-term loans, and many closed. The depression of the 1890s followed.",,
Australia,1893.0,Systemic Crisis,,,
Australia,1901.0,Gain of Independence,,,
Australia,1906.0,Currency Change,New currency: Australia pound,,
Australia,1916.0,Gold Standard Suspension,,,
Australia,1920.0,Currency Crisis,,,
Australia,1923.0,Currency Crisis,,,
Australia,1925.0,Gold Standard Adoption,,,
Australia,1930.0,Currency Crisis,,,
Australia,1931.0,Banking Crisis,,"Domestic debt only. The Debt Conversion Agreement Act in 1931/32 which appears to have done something similar to the later NZ induced conversion. See New Zealand entry.  Source: Redell (2012), Schedvin (1970) and Prichard (1970).",
Australia,1931.0,Currency Crisis,,"Domestic debt only. The Debt Conversion Agreement Act in 1931/32 which appears to have done something similar to the later NZ induced conversion. See New Zealand entry.  Source: Redell (2012), Schedvin (1970) and Prichard (1970).",
Australia,1931.0,Gold Standard Suspension,,"Domestic debt only. The Debt Conversion Agreement Act in 1931/32 which appears to have done something similar to the later NZ induced conversion. See New Zealand entry.  Source: Redell (2012), Schedvin (1970) and Prichard (1970).",
Australia,1932.0,Banking Crisis,,"Domestic debt only. The Debt Conversion Agreement Act in 1931/32 which appears to have done something similar to the later NZ induced conversion. See New Zealand entry.  Source: Redell (2012), Schedvin (1970) and Prichard (1970).",
Australia,1933.0,Currency Crisis,,,
Australia,1941.0,Currency Crisis,,,
Australia,1946.0,Currency Crisis,,,
Australia,1948.0,Currency Crisis,,,
Australia,1949.0,Currency Crisis,,,
Australia,1951.0,Currency Crisis,,,
Australia,1951.0,Inflation Crisis,Inflation level: 21.9,,
Australia,1954.0,Currency Crisis,,,
Australia,1955.0,Currency Crisis,,,
Australia,1958.0,Currency Crisis,,,
Australia,1959.0,Currency Crisis,,,
Australia,1962.0,Currency Crisis,,,
Australia,1964.0,Currency Crisis,,,
Australia,1965.0,Currency Crisis,,,
Australia,1966.0,Inflation Crisis,Inflation level: 34.9,,
Australia,1966.0,Currency Change,New currency: Australia dollar,,
Australia,1967.0,Currency Crisis,,,
Australia,1969.0,Currency Crisis,,,
Australia,1970.0,Currency Crisis,,,
Australia,1971.0,Currency Crisis,,,
Australia,1974.0,Currency Crisis,,,
Australia,1975.0,Currency Crisis,,,
Australia,1975.0,Inflation Crisis,Inflation level: 24.8,,
Australia,1976.0,Currency Crisis,,,
Australia,1977.0,Currency Crisis,,,
Australia,1978.0,Currency Crisis,,,
Australia,1979.0,Currency Crisis,,,
Australia,1980.0,Currency Crisis,,,
Australia,1981.0,Currency Crisis,,,
Australia,1982.0,Currency Crisis,,,
Australia,1984.0,Currency Crisis,,,
Australia,1986.0,Currency Crisis,,,
Australia,1987.0,Currency Crisis,,,
Australia,1988.0,Currency Crisis,,,
Australia,1989.0,Banking Crisis,Two large banks received capital from government to cover losses.,,
Australia,1989.0,Currency Crisis,,,
Australia,1990.0,Banking Crisis,Two large banks received capital from government to cover losses.,,
Australia,1990.0,Currency Crisis,,,
Australia,1991.0,Banking Crisis,Two large banks received capital from government to cover losses.,,
Australia,1991.0,Currency Crisis,,,
Australia,1992.0,Banking Crisis,Two large banks received capital from government to cover losses.,,
Australia,1992.0,Currency Crisis,,,
Australia,2002.0,Currency Crisis,,,
Australia,2013.0,Currency Crisis,,,
Australia,2014.0,Currency Crisis,,,
Australia,2015.0,Currency Crisis,,,
Australia,2016.0,Currency Crisis,,,
Austria,1800.0,Currency Crisis,,,
Austria,1801.0,Currency Crisis,,,
Austria,1801.0,Inflation Crisis,Inflation level: 29.2,,
Austria,1804.0,Currency Crisis,,,Napoleonic wars
Austria,1805.0,Inflation Crisis,Inflation level: 26.5,,Napoleonic wars
Austria,1807.0,Currency Crisis,,,Napoleonic wars
Austria,1808.0,Currency Crisis,,,Napoleonic wars
Austria,1809.0,Currency Crisis,,,Napoleonic wars
Austria,1809.0,Inflation Crisis,Inflation level: 50.8,,Napoleonic wars
Austria,1810.0,Currency Crisis,,,Napoleonic wars
Austria,1811.0,Currency Crisis,,,Napoleonic wars
Austria,1811.0,Inflation Crisis,Inflation level: 53.7,,Napoleonic wars
Austria,1812.0,Currency Crisis,,,Napoleonic wars
Austria,1814.0,Inflation Crisis,Inflation level: 49.7,,Napoleonic wars
Austria,1815.0,Currency Crisis,,,Napoleonic wars
Austria,1815.0,Inflation Crisis,Inflation level: 37.2,,Napoleonic wars
Austria,1816.0,Currency Crisis,,,Napoleonic wars
Austria,1816.0,Inflation Crisis,Inflation level: 40.6,,Napoleonic wars
Austria,1817.0,Currency Crisis,,,
Austria,1821.0,Inflation Crisis,Inflation level: 26.6,,
Austria,1827.0,Inflation Crisis,Inflation level: 39.1,,
Austria,1828.0,Inflation Crisis,Inflation level: 23.6,,
Austria,1845.0,Inflation Crisis,Inflation level: 21.9,,
Austria,1846.0,Inflation Crisis,Inflation level: 31.7,,
Austria,1847.0,Inflation Crisis,Inflation level: 33.6,,
Austria,1850.0,Currency Crisis,,,
Austria,1851.0,Currency Crisis,,,
Austria,1853.0,Currency Crisis,,,
Austria,1854.0,Inflation Crisis,Inflation level: 50.9,,
Austria,1856.0,Currency Crisis,,,
Austria,1859.0,Currency Crisis,,,
Austria,1860.0,Currency Crisis,,,
Austria,1860.0,Inflation Crisis,Inflation level: 26.3,,
Austria,1863.0,Currency Crisis,,,
Austria,1866.0,Currency Crisis,,,
Austria,1866.0,Inflation Crisis,Inflation level: 44.6,,
Austria,1867.0,Inflation Crisis,Inflation level: 31.9,,
Austria,1870.0,Inflation Crisis,Inflation level: 21.5,,Coupon tax Hapsburg dual monarchy
Austria,1873.0,Banking Crisis,,,
Austria,1873.0,Systemic Crisis,,,
Austria,1874.0,Systemic Crisis,,,
Austria,1876.0,Inflation Crisis,Inflation level: 113.8,,
Austria,1892.0,Gold Standard Adoption,,,
Austria,1892.0,Currency Change,New currency: Krone,,
Austria,1915.0,Currency Crisis,,,World War 2
Austria,1915.0,Gold Standard Suspension,,,World War 2
Austria,1918.0,Currency Crisis,,,
Austria,1919.0,Currency Crisis,,,
Austria,1920.0,Currency Crisis,,Hyperinflation erodes domestic debt.,
Austria,1920.0,Inflation Crisis,Inflation level: 125.0,Hyperinflation erodes domestic debt.,
Austria,1921.0,Currency Crisis,,Hyperinflation erodes domestic debt.,
Austria,1921.0,Inflation Crisis,Inflation level: 855.6,Hyperinflation erodes domestic debt.,
Austria,1922.0,Currency Crisis,,Hyperinflation erodes domestic debt.,
Austria,1922.0,Inflation Crisis,Inflation level: 1733.0,Hyperinflation erodes domestic debt.,
Austria,1923.0,Currency Crisis,,,
Austria,1923.0,Gold Standard Adoption,,,
Austria,1924.0,Banking Crisis,,,
Austria,1924.0,Systemic Crisis,,,
Austria,1924.0,Inflation Crisis,Inflation level: 21.8,,
Austria,1929.0,Banking Crisis,,,
Austria,1929.0,Systemic Crisis,,,
Austria,1931.0,Banking Crisis,,,
Austria,1931.0,Systemic Crisis,,,
Austria,1932.0,Systemic Crisis,,,"Depression, German occupation, and World War ll"
Austria,1932.0,Gold Standard Suspension,,,"Depression, German occupation, and World War ll"
Austria,1933.0,Systemic Crisis,,,"Depression, German occupation, and World War ll"
Austria,1933.0,Currency Crisis,,,"Depression, German occupation, and World War ll"
Austria,1945.0,Currency Crisis,,"Restoration of schilling (150 limit per person). Remainder placed in blocked accounts.  In December 1947, large amounts of previously blocked schillings invalidated and rendered worthless. Temporary blockage of 50 percent of deposits. Source: Pick and Sedillot (1971).","Depression, German occupation, and World War ll"
